date,T10.2,T10.3,T10.6,T10.7,T26.6,T26.7,T26.8,T26.9,T29.2,T29.1
06/08/15,75,75,75,75,0,0,0,0,0,0
06/09/15,75,75,75,75,0,0,0,0,0,0
06/10/15,75,75,75,75,0,0,0,0,0,0
06/11/15,75,75,75,75,0,0,0,0,0,0
06/12/15,75,75,75,75,0,0,0,0,0,0
06/13/15,75,75,75,75,0,0,0,0,0,0
06/14/15,75,75,75,75,0,0,0,0,0,0
06/15/15,75,75,75,75,0,0,0,0,0,0
06/16/15,75,75,75,75,0,0,0,0,0,0
06/17/15,75,75,75,75,0,0,0,0,0,0
06/18/15,75,75,75,75,0,0,0,0,0,0
06/19/15,75,75,75,75,0,0,0,0,0,0
06/20/15,75,75,75,75,0,0,0,0,0,0
06/21/15,75,75,75,75,0,0,0,0,0,0
06/22/15,75,75,75,75,0,0,0,0,0,0
06/23/15,75,75,75,75,0,0,0,0,0,0
06/24/15,75,75,75,75,0,0,0,0,0,0
06/25/15,75,75,75,75,0,0,0,0,0,0
06/26/15,75,75,75,75,0,0,0,0,0,0
06/27/15,75,75,75,75,0,0,0,0,0,0
06/28/15,75,75,75,75,0,0,0,0,0,0
06/29/15,75,75,75,75,0,0,0,0,0,0
06/30/15,75,75,75,75,0,0,0,0,0,0
07/01/15,0,75,0,90,0,90,0,90,0,0
07/02/15,0,75,0,90,0,90,0,90,0,0
07/03/15,0,75,0,90,0,90,0,90,0,0
07/04/15,0,75,0,90,0,90,0,90,0,0
07/05/15,0,75,0,90,0,90,0,90,0,0
07/06/15,0,75,0,90,0,90,0,90,0,0
07/07/15,0,75,0,90,0,90,0,90,0,0
07/08/15,0,75,0,90,0,0,0,90,0,0
07/09/15,0,75,0,90,0,0,0,90,0,0
07/10/15,0,75,0,90,0,0,0,90,0,0
07/11/15,0,75,0,90,0,0,0,90,0,0
07/12/15,0,75,0,90,0,0,0,90,0,0
07/13/15,0,75,0,90,0,0,0,45,0,0
07/14/15,0,75,0,90,0,0,0,45,0,0
07/15/15,0,75,0,90,0,0,0,0,0,0
07/16/15,0,75,0,90,0,0,0,0,0,0
07/17/15,0,75,0,90,0,0,0,0,0,0
07/18/15,0,75,0,90,0,0,0,0,0,0
07/19/15,0,75,0,90,0,0,0,0,0,0
07/20/15,0,75,0,90,0,0,0,0,0,0
07/21/15,0,75,0,90,0,0,0,0,0,0
07/22/15,0,75,0,90,0,0,0,0,0,0
07/23/15,0,75,0,90,0,0,0,0,0,0
07/24/15,0,75,0,90,0,0,0,0,0,0
07/25/15,0,75,0,90,0,0,0,0,0,0
07/26/15,0,75,0,90,0,0,0,0,0,0
07/27/15,0,75,0,90,0,0,0,0,0,0
07/28/15,0,75,0,90,0,0,0,0,0,0
07/29/15,0,75,0,90,0,0,0,0,0,0
07/30/15,0,75,0,90,0,0,0,0,0,0
07/31/15,0,75,0,90,0,0,0,0,0,0
08/01/15,0,75,0,90,0,0,0,0,0,0
08/02/15,0,75,0,90,0,0,0,0,0,0
08/03/15,0,75,0,90,0,0,0,0,0,0
08/04/15,0,75,0,90,0,0,0,0,0,0
08/05/15,0,75,0,90,0,0,0,0,0,0
08/06/15,0,75,0,90,0,0,0,0,0,0
08/07/15,0,75,0,90,0,0,0,0,0,0
08/08/15,0,75,0,90,0,0,0,0,0,0
08/09/15,0,75,0,90,0,0,0,0,0,0
08/10/15,0,75,0,90,0,0,0,0,0,0
08/11/15,0,75,0,90,0,0,0,0,0,0
08/12/15,0,75,0,90,0,0,0,0,0,0
08/13/15,0,75,0,90,0,0,0,0,0,0
