"DCA","Target Wetness","Apr 16, 2015","June 8, 2015","June 20, 2015","Nov 30, 2015","Dec 1, 2015","Apr 26, 2016","May 27, 2016","June 24, 2016"
"T10-1b","0%","2%","15%","6%","9%","7%","27%","6%","2%"
"T10-1b","45%","13%","46%","27%","52%","54%","85%","56%","51%"
"T10-1b","55%","29%","67%","49%","58%","61%","84%","67%","62%"
"T10-1b","65%","22%","15%","11%","63%","66%","64%","38%","42%"
"T10-1b","75%","26%","26%","14%","61%","65%","72%","39%","40%"
"T26","0%",NA,"0%","0%","3%","3%","1%","4%","1%"
"T26","45%",NA,"3%","2%","40%","41%","27%","27%","13%"
"T26","55%",NA,"5%","7%","77%","79%","51%","51%","31%"
"T26","65%",NA,"13%","15%","87%","87%","74%","67%","54%"
"T26","75%",NA,"17%","19%","94%","95%","69%","70%","47%"
"T29-2","0%",NA,NA,NA,"0%","0%","0%","0%","0%"
"T29-2","45%",NA,NA,NA,"24%","38%","2%","3%","17%"
"T13-1","75%","46%","86%","73%","86%","86%","83%","40%","73%"
