"dca","trgtwet","042616.swir","042616.wet","052716.swir","052716.wet","113015.swir","113015.wet","120115.swir","120115.wet"
"T10","0%","NA","NA","NA","NA","9%","3%","7%","6%"
"T10","45%","NA","NA","NA","NA","52%","33%","54%","50%"
"T10","55%","NA","NA","NA","NA","58%","42%","NA","NA"
"T10","65%","NA","NA","NA","NA","NA","NA","66%","76%"
"T10","75%","NA","NA","NA","NA","NA","NA","65%","62%"
"T26","0%","1%","0%","4%","0%","3%","0%","3%","0%"
"T26","45%","27%","5%","27%","3%","40%","33%","41%","20%"
"T26","55%","51%","11%","51%","7%","77%","30%","79%","39%"
"T26","65%","74%","12%","67%","20%","87%","61%","87%","51%"
"T26","75%","69%","25%","70%","13%","94%","65%","95%","64%"
